order_completed_at,unique_order_count,year,month,day,dayofweek_num,midmonth,payday,double_date
2023-08-29,97,2023,8,29,1,0,1,0
2023-08-30,80,2023,8,30,2,0,1,0
2023-08-31,127,2023,8,31,3,0,1,0
2023-09-01,115,2023,9,1,4,0,0,0
2023-09-02,122,2023,9,2,5,0,0,0
2023-09-03,90,2023,9,3,6,0,0,0
2023-09-04,94,2023,9,4,0,0,0,0
2023-09-05,90,2023,9,5,1,0,0,0
2023-09-06,94,2023,9,6,2,0,0,0
2023-09-07,96,2023,9,7,3,0,0,0
2023-09-08,452,2023,9,8,4,0,0,0
2023-09-09,599,2023,9,9,5,0,0,1
2023-09-10,461,2023,9,10,6,0,0,0
2023-09-11,124,2023,9,11,0,0,0,0
2023-09-12,116,2023,9,12,1,0,0,0
2023-09-13,93,2023,9,13,2,0,0,0
2023-09-14,128,2023,9,14,3,0,0,0
2023-09-15,123,2023,9,15,4,1,0,0
2023-09-16,101,2023,9,16,5,0,0,0
2023-09-17,111,2023,9,17,6,0,0,0
2023-09-18,112,2023,9,18,0,0,0,0
2023-09-19,119,2023,9,19,1,0,0,0
2023-09-20,116,2023,9,20,2,0,0,0
2023-09-21,127,2023,9,21,3,0,0,0
2023-09-22,112,2023,9,22,4,0,0,0
2023-09-23,85,2023,9,23,5,0,0,0
2023-09-24,109,2023,9,24,6,0,0,0
2023-09-25,245,2023,9,25,0,0,1,0
2023-09-26,158,2023,9,26,1,0,1,0
2023-09-27,124,2023,9,27,2,0,1,0
2023-09-28,128,2023,9,28,3,0,1,0
2023-09-29,135,2023,9,29,4,0,1,0
2023-09-30,142,2023,9,30,5,0,1,0
2023-10-01,117,2023,10,1,6,0,0,0
2023-10-02,136,2023,10,2,0,0,0,0
2023-10-03,112,2023,10,3,1,0,0,0
2023-10-04,120,2023,10,4,2,0,0,0
2023-10-05,96,2023,10,5,3,0,0,0
2023-10-06,133,2023,10,6,4,0,0,0
2023-10-07,101,2023,10,7,5,0,0,0
2023-10-08,93,2023,10,8,6,0,0,0
2023-10-09,128,2023,10,9,0,0,0,0
2023-10-10,841,2023,10,10,1,0,0,1
2023-10-11,438,2023,10,11,2,0,0,0
2023-10-12,325,2023,10,12,3,0,0,0
2023-10-13,570,2023,10,13,4,0,0,0
2023-10-14,130,2023,10,14,5,0,0,0
2023-10-15,186,2023,10,15,6,1,0,0
2023-10-16,158,2023,10,16,0,0,0,0
2023-10-17,153,2023,10,17,1,0,0,0
2023-10-18,172,2023,10,18,2,0,0,0
2023-10-19,182,2023,10,19,3,0,0,0
2023-10-20,212,2023,10,20,4,0,0,0
2023-10-21,115,2023,10,21,5,0,0,0
2023-10-22,118,2023,10,22,6,0,0,0
2023-10-23,117,2023,10,23,0,0,0,0
2023-10-24,125,2023,10,24,1,0,0,0
2023-10-25,293,2023,10,25,2,0,1,0
2023-10-26,179,2023,10,26,3,0,1,0
2023-10-27,130,2023,10,27,4,0,1,0
2023-10-28,125,2023,10,28,5,0,1,0
2023-10-29,123,2023,10,29,6,0,1,0
2023-10-30,153,2023,10,30,0,0,1,0
2023-10-31,145,2023,10,31,1,0,1,0
2023-11-01,143,2023,11,1,2,0,0,0
2023-11-02,146,2023,11,2,3,0,0,0
2023-11-03,136,2023,11,3,4,0,0,0
2023-11-04,132,2023,11,4,5,0,0,0
2023-11-05,159,2023,11,5,6,0,0,0
2023-11-06,128,2023,11,6,0,0,0,0
2023-11-07,133,2023,11,7,1,0,0,0
2023-11-08,113,2023,11,8,2,0,0,0
2023-11-09,179,2023,11,9,3,0,0,0
2023-11-10,464,2023,11,10,4,0,0,0
2023-11-11,1005,2023,11,11,5,0,0,1
2023-11-12,485,2023,11,12,6,0,0,0
2023-11-13,465,2023,11,13,0,0,0,0
2023-11-14,225,2023,11,14,1,0,0,0
2023-11-15,212,2023,11,15,2,1,0,0
2023-11-16,236,2023,11,16,3,0,0,0
2023-11-17,227,2023,11,17,4,0,0,0
2023-11-18,161,2023,11,18,5,0,0,0
2023-11-19,142,2023,11,19,6,0,0,0
2023-11-20,215,2023,11,20,0,0,0,0
2023-11-21,200,2023,11,21,1,0,0,0
2023-11-22,139,2023,11,22,2,0,0,0
2023-11-23,185,2023,11,23,3,0,0,0
2023-11-24,182,2023,11,24,4,0,0,0
2023-11-25,228,2023,11,25,5,0,1,0
2023-11-26,168,2023,11,26,6,0,1,0
2023-11-27,173,2023,11,27,0,0,1,0
2023-11-28,211,2023,11,28,1,0,1,0
2023-11-29,164,2023,11,29,2,0,1,0
2023-11-30,195,2023,11,30,3,0,1,0
2023-12-01,181,2023,12,1,4,0,0,0
2023-12-02,186,2023,12,2,5,0,0,0
2023-12-03,166,2023,12,3,6,0,0,0
2023-12-04,203,2023,12,4,0,0,0,0
2023-12-05,215,2023,12,5,1,0,0,0
2023-12-06,209,2023,12,6,2,0,0,0
2023-12-07,182,2023,12,7,3,0,0,0
2023-12-08,172,2023,12,8,4,0,0,0
2023-12-09,185,2023,12,9,5,0,0,0
2023-12-10,193,2023,12,10,6,0,0,0
2023-12-11,197,2023,12,11,0,0,0,0
2023-12-12,642,2023,12,12,1,0,0,1
2023-12-13,307,2023,12,13,2,0,0,0
2023-12-14,301,2023,12,14,3,0,0,0
2023-12-15,316,2023,12,15,4,1,0,0
2023-12-16,236,2023,12,16,5,0,0,0
2023-12-17,239,2023,12,17,6,0,0,0
2023-12-18,263,2023,12,18,0,0,0,0
2023-12-19,246,2023,12,19,1,0,0,0
2023-12-20,280,2023,12,20,2,0,0,0
2023-12-21,292,2023,12,21,3,0,0,0
2023-12-22,284,2023,12,22,4,0,0,0
2023-12-23,306,2023,12,23,5,0,0,0
2023-12-24,325,2023,12,24,6,0,0,0
2023-12-25,514,2023,12,25,0,0,1,0
2023-12-26,404,2023,12,26,1,0,1,0
2023-12-27,395,2023,12,27,2,0,1,0
2023-12-28,296,2023,12,28,3,0,1,0
2023-12-29,169,2023,12,29,4,0,1,0
2023-12-30,100,2023,12,30,5,0,1,0
2023-12-31,55,2023,12,31,6,0,1,0
2024-01-01,196,2024,1,1,0,0,0,1
2024-01-02,307,2024,1,2,1,0,0,0
2024-01-03,350,2024,1,3,2,0,0,0
2024-01-04,361,2024,1,4,3,0,0,0
2024-01-05,277,2024,1,5,4,0,0,0
2024-01-06,281,2024,1,6,5,0,0,0
2024-01-07,286,2024,1,7,6,0,0,0
2024-01-08,284,2024,1,8,0,0,0,0
2024-01-09,249,2024,1,9,1,0,0,0
2024-01-10,350,2024,1,10,2,0,0,0
2024-01-11,310,2024,1,11,3,0,0,0
2024-01-12,312,2024,1,12,4,0,0,0
2024-01-13,263,2024,1,13,5,0,0,0
2024-01-14,242,2024,1,14,6,0,0,0
2024-01-15,440,2024,1,15,0,1,0,0
2024-01-16,303,2024,1,16,1,0,0,0
2024-01-17,308,2024,1,17,2,0,0,0
